,05-01,06-01,07-01,08-01,09-01,mean,worst
A1  market-change (shipped),3.258540759825125,3.1563318499285535,5.441411029051376,3.0765692410704992,3.2699102487187783,3.640552625718867,5.441411029051376
A2  month curve,2.762993683714954,3.248549223335605,8.776019569640152,3.7471603591619447,6.0292222154449995,4.912789010259531,8.776019569640152
"A2  month curve, no Aug",2.762993683714954,3.248549223335605,8.776019569640152,3.7471603591619447,2.9558171316678585,4.298107993504102,8.776019569640152
A2  Fourier seasonal,90.43647655021722,6.023214740582694,10.174407452049723,20.340251325772822,8.238445262497333,27.04255906622396,90.43647655021722
"A2  flat level, keep day-of-week",6.647461885979196,5.42493965697073,3.2939197392064745,3.08310941315096,3.0095859719220823,4.2918033334458885,6.647461885979196
A2  no time at all,6.616060806259669,5.431945097928292,3.376919457414771,3.1615119023932117,3.088817128723561,4.3350508785439015,6.616060806259669
