,mape,mae,bias
"A2  month curve, no Aug",2.9558171316678585,52.99621728907012,1.375929678008636
A2  no time at all,3.088817128723561,56.90012448812985,0.28630429300687504
A1  market-change (shipped),3.2699102487187783,61.881684876027165,-0.6099845437019756
A2  month curve,6.0292222154449995,128.27965829051846,-3.981506062457331
"A2  Fourier, no trend",7.808536987691871,170.75559617583056,-5.858313257676013
A2  Fourier seasonal,8.238445262497333,181.14898039695763,-6.30398995170593
