,05-01,06-01,07-01,08-01,09-01,mean,delta
current model (no additions),3.258540759825125,3.1563318499285535,5.441411029051376,3.0765692410704992,3.2699102487187783,3.640552625718867,0.0
+ flow,3.259396298752452,3.164190505879394,5.465617210387885,3.0673636132019273,3.2690112921609207,3.6451157840765154,0.0045631583576484225
+ geometry,3.2510351428786186,3.154835192256659,5.4369572224802125,3.0708578709604395,3.2639471157704367,3.6355265088692734,-0.0050261168495935316
+ capacity,3.2709087670624513,3.1617026047301238,5.452169320885548,3.0689321968938152,3.2767943791269323,3.6461014537397745,0.005548828020907504
+ region,3.2408529629850142,3.1608882365249364,5.447590111520681,3.0750682988626945,3.269201027332332,3.6387201274451315,-0.001832498273735439
+ calendar,3.481632210479694,3.1899140203211536,5.4420599791995805,3.0443008936648743,3.254168450874638,3.682415110907988,0.041862485189120946
+ recent lane price,3.245177267040352,3.1402946550690385,5.444545583516012,3.058474065762618,3.27597708514668,3.6328937313069405,-0.007658894411926465
